dataset,node,epsilon,min_samples,id,precision,recall,fscore
BGP_testbed_2,leaf6,10.0,18,5130,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf7,10.0,18,5131,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf8,10.0,18,5132,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine1,10.0,18,5133,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine2,10.0,18,5134,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine3,10.0,18,5135,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine4,10.0,18,5136,1.0,0.43,0.7904411764705883
BGP_testbed_3,leaf1,10.0,18,5137,1.0,0.62,0.8908045977011495
BGP_testbed_3,leaf2,10.0,18,5138,1.0,0.25,0.625
BGP_testbed_3,leaf3,10.0,18,5139,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf5,10.0,18,5140,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf6,10.0,18,5141,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf7,10.0,18,5142,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf8,10.0,18,5143,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine1,10.0,18,5144,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine2,10.0,18,5145,1.0,0.75,0.9375
BGP_testbed_3,spine3,10.0,18,5146,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine4,10.0,18,5147,1.0,0.88,0.9734513274336285
BGP_testbed_2,leaf1,10.0,20,5148,1.0,0.57,0.8689024390243902
BGP_testbed_2,leaf2,10.0,20,5149,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf3,10.0,20,5150,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf5,10.0,20,5151,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf6,10.0,20,5152,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf7,10.0,20,5153,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf8,10.0,20,5154,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine1,10.0,20,5155,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine2,10.0,20,5156,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine3,10.0,20,5157,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine4,10.0,20,5158,1.0,0.43,0.7904411764705883
BGP_testbed_3,leaf1,10.0,20,5159,1.0,0.62,0.8908045977011495
BGP_testbed_3,leaf2,10.0,20,5160,1.0,0.25,0.625
BGP_testbed_3,leaf3,10.0,20,5161,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf5,10.0,20,5162,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf6,10.0,20,5163,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf7,10.0,20,5164,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf8,10.0,20,5165,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine1,10.0,20,5166,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine2,10.0,20,5167,1.0,0.75,0.9375
BGP_testbed_3,spine3,10.0,20,5168,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine4,10.0,20,5169,1.0,0.88,0.9734513274336285
